rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
248,Pioneer Natural Resources,14643,1190000%,2118,-,36811,60728.3,180,1932
249,AutoZone,14629.6,158000.00%,2170.3,252000.00%,14516.2,40582.6,-11,85050
250,Lam Research,14626.2,456000.00%,3908.5,736000.00%,15892.2,74996.7,54,14100
251,American Family Insurance Group,14611.9,118000.00%,734.5,822000.00%,36316.4,-,-19,13590
252,Illinois Tool Works,14455,150000%,2694,277000.00%,16077,65311.9,-12,45000
253,Parker-Hannifin,14347.6,48000.00%,1746.1,447000.00%,20341.2,36456.8,-30,54640
254,Otis Worldwide,14298,121000.00%,1246,375000.00%,12279,32700.9,-18,70000
255,Omnicom Group,14289.4,85000.00%,1407.8,489000.00%,28421.8,17565.7,-26,71700
256,Principal Financial,14262.7,-32000.00%,1710.6,226000.00%,304657.2,19176.7,-50,18600
257,Dominion Energy,14218,-118000.00%,3288,-,99590,68883,-64,17100
258,Kellogg,14181,30000%,1488,189000.00%,18178,21890.2,-36,31000
259,Fluor,14156.8,-109000.00%,-440.2,-,7279.6,4051.7,-63,40582
260,AECOM,14112.4,-139000.00%,173.2,-,11734,10856.5,-71,51000
261,Reliance Steel & Aluminum,14093.3,599000.00%,1413,2828000.00%,9536,11313.5,82,13950
262,Jacobs Engineering Group,14092.6,38000.00%,477,-30000%,14632.6,17807.4,-37,53500
263,Corning,14082,246000.00%,1906,2723000.00%,30154,31212.8,14,61200
264,Farmers Insurance Exchange,14055,184000.00%,-366.8,-,21740.7,-,-8,11787
265,Qurate Retail,14044,-9000.00%,340,-718000.00%,16249,1807.4,-49,26745
266,Pacific Life,13936,385000.00%,1102,-,209486,-,37,3861
267,PulteGroup,13926.9,262000.00%,1946.3,383000.00%,13352.6,10115.7,17,6182
268,Fidelity National Information Services,13877,106000.00%,417,1639000.00%,82931,61215.1,-27,65000
269,IQVIA Holdings,13874,221000.00%,966,2462000.00%,24689,44140.8,6,79000
270,Marriott International,13857,311000.00%,1099,-,25553,57514.9,23,120000
271,Berry Global Group,13850,183000.00%,733,311000.00%,17882,7832.4,-10,47000
272,Ball,13811,172000.00%,878,501000.00%,19714,28909.1,-12,24300
273,Group 1 Automotive,13801.7,272000.00%,552.1,927000.00%,5749.4,2859.9,13,13711
274,Leidos Holdings,13737,117000.00%,753,199000.00%,13261,14727.7,-26,43000
275,Wayfair,13708,-31000.00%,-131,-1708000.00%,4570,11641.6,-58,16681
276,Consolidated Edison,13676,117000.00%,1346,223000.00%,63116,33525.3,-27,13871
277,Ameriprise Financial,13443,124000.00%,2760,799000.00%,175979,33213,-24,12000
278,Xcel Energy,13431,165000.00%,1597,84000.00%,57851,39275.9,-6,11321
279,O'Reilly Automotive,13327.6,148000.00%,2164.7,235000.00%,11718.7,45410.4,-11,76158
280,Global Partners,13248.3,592000.00%,60.8,-405000.00%,2831.2,927.1,81,2960
281,Discover Financial Services,13221,21000.00%,5449,3776000.00%,110242,31076.7,-48,16700
282,Rocket Companies,13175.6,-176000.00%,308.2,557000.00%,32774.9,21905.9,-88,26000
283,LKQ,13088.5,126000.00%,1090.9,709000.00%,12606.2,12941.4,-17,46000
284,W.W. Grainger,13022,104000.00%,1043,501000.00%,6592,26358,-26,23450
285,Quanta Services,12980.2,159000.00%,486,91000.00%,12855.2,18779.5,-7,43700
286,Crown Holdings,12979,121000.00%,-560,-1967000.00%,13858,15460.6,-17,26000
287,Fox,12909,49000.00%,2150,1152000.00%,22926,21423.2,-40,9000
288,Sempra,12857,77000.00%,1317,-665000.00%,72045,53087.6,-33,15390
289,Markel,12846.4,320000%,2425,1972000.00%,48448.9,20037.5,22,20300
290,Carvana,12814,1294000.00%,-135,-,7015,19549.5,193,21000
291,XPO Logistics,12806,-212000.00%,336,2055000.00%,8707,8356.9,-101,44700
292,Baxter International,12784,95000.00%,1284,165000.00%,33521,39017.9,-28,60000
293,Ecolab,12733.1,-1000.00%,1129.9,-,21206.4,50548.4,-56,47000
294,Tractor Supply,12731.1,199000.00%,997.1,331000.00%,7767.5,26171.6,-3,34000
295,Andersons,12728.8,551000.00%,104,12487000.00%,4569.2,1708.2,71,2334
296,Keurig Dr Pepper,12683,92000.00%,2146,620000%,50598,53748.2,-29,27500
297,Universal Health Services,12642.1,94000.00%,991.6,50000%,13093.5,10843.1,-27,78850
298,CSX,12522,183000.00%,3781,367000.00%,40531,81587.8,-6,20919
299,Henry Schein,12401,226000.00%,631.2,563000.00%,8481.1,11960.1,-1,21600
300,Sonic Automotive,12396.4,269000.00%,348.9,-,4975.1,1728.8,8,10200
301,eBay,12394,92000.00%,13608,1401000.00%,26626,33641.9,-25,10800
302,Textron,12382,63000.00%,746,1414000.00%,15827,16090.6,-37,33000
303,Jones Financial (Edward Jones),12373,217000.00%,1605,249000.00%,32208,-,-8,50000
304,Community Health Systems,12368,49000.00%,230,-550000%,15217,1598.6,-45,58500
305,Mosaic,12357.4,423000.00%,1630.6,1448000.00%,22036.4,24492.6,41,12525
306,Thor Industries,12317.4,508000.00%,659.9,1959000.00%,6654.1,4330.9,62,31000
307,Dick's Sporting Goods,12293.4,283000.00%,1519.9,1866000.00%,9041.7,7986.6,13,34300
308,Newmont,12222,63000.00%,1166,-588000.00%,40564,62968.1,-35,14400
309,Devon Energy,12206,1398000.00%,2813,-,21025,39274.1,211,1600
310,Warner Bros. Discovery,12191,142000.00%,1006,-175000.00%,34427,12700.5,-20,11000
311,J.B. Hunt Transport Services,12168.3,263000.00%,760.8,503000.00%,6794.3,21052.9,4,33045
312,Alcoa,12152,309000.00%,429,-,15025,16603.4,18,12200
313,Peter Kiewit Sons',12149,-25000.00%,753,-88000.00%,6238,-,-70,28800
314,Aramark,12096,-57000.00%,-90.8,-,14376.2,9655.5,-79,248300
315,Vistra,12077,55000.00%,-1274,-3003000.00%,29683,10434.7,-41,5060
316,State Street,12030,-4000.00%,2693,113000.00%,314624,31891.8,-64,38784
317,Unum Group,12013.8,-87000.00%,824.2,39000.00%,70115.6,6382.8,-87,10200
318,Alleghany,12004.1,349000.00%,1034.9,9171000.00%,32268.7,11396.1,21,13313
319,Boston Scientific,11888,199000.00%,1041,-,32229,63310.2,-14,41000
320,Westlake,11778,570000%,2015,5106000.00%,18459,15785.4,68,14550
321,Entergy,11742.9,161000.00%,1118.5,-194000.00%,59454.2,23760.4,-21,12369
322,International Flavors & Fragrances,11656,1293000.00%,270,-257000.00%,39658,33455.6,200,24000
323,DaVita,11618.8,6000.00%,978.5,265000.00%,17121.5,10892.5,-52,69000
324,Mutual of Omaha Insurance,11459.3,33000.00%,579,-171000.00%,49852.7,-,-42,5739
325,Assurant,11410,130000%,1372.4,2106000.00%,33911.5,10493.1,-23,15600
326,Liberty Media,11400,218000.00%,398,-,44351,15239.1,-,6886
327,Hormel Foods,11386.2,185000.00%,908.8,1000.00%,12696.3,28089.2,-10,20000
328,Icahn Enterprises,11328,850000%,-518,-,27746,15237.1,125,19536
